"profile_id","user_agent","platform","brand","model","device_name","device_year","device_image_url","device_image_local","screen_width","screen_height","viewport_width","viewport_height","pixel_ratio","hardware_concurrency","device_memory","max_touch_points","os_version","browser_version","webkit_version","facebook_app_version","facebook_build_version","webgl_vendor","webgl_renderer","canvas_fingerprint_seed","audio_fingerprint_seed","timezone","language","connection_type","connection_downlink","connection_rtt","battery_charging","battery_level","generated_timestamp","generator_version"
"w9vyhj42","Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A3351 [FBAN/FBIOS;FBAV/516.0.0.47.97;FBBV/743277063;FBDV/iPhone17,3;FBMD/iPhone;FBSN/iOS;FBSV/18.0;FBSS/2;FBID/phone;FBLC/es_US;FBOP/5;FBRV/752324910;IABMV/1]","iPhone","Apple","iPhone17,3","iPhone 16","2024","","./device-images/iphone/iphone17-3.jpg","1179","2556","472","950","2.5","6","8","10","18.0","120.0.6099.210","605.1.15","516.0.0.47.97","743277063","Apple","Apple A18","7fedc7d8","6725f956","Europe/Paris","es_US","5g","16","36","true","31","2025-08-24T09:41:58.626Z","3.0-optimized"
"icyq43am","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22B83 [FBAN/FBIOS;FBAV/516.0.0.47.97;FBBV/743277063;FBDV/iPhone17,4;FBMD/iPhone;FBSN/iOS;FBSV/18.1;FBSS/2;FBID/phone;FBLC/es_US;FBOP/5;FBRV/757239679;IABMV/1]","iPhone","Apple","iPhone17,4","iPhone 16 Plus","2024","","./device-images/iphone/iphone17-4.jpg","1290","2796","516","1046","2.5","6","8","10","18.1","120.0.6099.210","605.1.15","516.0.0.47.97","743277063","Apple","Apple A18","627a8737","2c645217","America/Los_Angeles","es_US","4g","31","38","true","92","2025-08-24T09:41:58.626Z","3.0-optimized"
"zlyqpeuq","Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A3351 [FBAN/FBIOS;FBAV/521.0.0.38.98;FBBV/760232234;FBDV/iPhone17,1;FBMD/iPhone;FBSN/iOS;FBSV/18.0;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/769734518;IABMV/1]","iPhone","Apple","iPhone17,1","iPhone 16 Pro","2024","","./device-images/iphone/iphone17-1.jpg","1206","2622","482","977","2.5","6","8","10","18.0","120.0.6099.210","605.1.15","521.0.0.38.98","760232234","Apple","Apple A18 Pro","6cd6e81c","3e7a77ca","America/Chicago","en_US","4g","59","36","false","12","2025-08-24T09:41:58.626Z","3.0-optimized"
"epviplav","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/516.0.0.47.97;FBBV/743277063;FBDV/iPhone17,2;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/767288739;IABMV/1]","iPhone","Apple","iPhone17,2","iPhone 16 Pro Max","2024","","./device-images/iphone/iphone17-2.jpg","1320","2868","528","1075","2.5","6","8","10","18.3.1","120.0.6099.210","605.1.15","516.0.0.47.97","743277063","Apple","Apple A18 Pro","25378fe0","7cff104e","Europe/Berlin","en_US","4g","22","63","false","35","2025-08-24T09:41:58.626Z","3.0-optimized"
"j2v5eynq","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19B74 [FBAN/FBIOS;FBAV/521.0.0.38.98;FBBV/760232234;FBDV/iPhone8,2;FBMD/iPhone;FBSN/iOS;FBSV/15.1;FBSS/3;FBID/phone;FBLC/es_US;FBOP/5;FBRV/761225493;IABMV/1]","iPhone","Apple","iPhone8,2","iPhone 6s Plus","2015","","./device-images/iphone/iphone8-2.jpg","1080","1920","432","696","2.5","2","2","3","15.1","120.0.6099.210","605.1.15","521.0.0.38.98","760232234","Imagination Technologies","PowerVR GT7600","2d7c4467","72120975","America/Los_Angeles","es_US","4g","29","97","true","58","2025-08-24T09:41:58.627Z","3.0-optimized"
"rg16xt1n","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19B74 [FBAN/FBIOS;FBAV/519.1.0.40.99;FBBV/753726094;FBDV/iPhone10,4;FBMD/iPhone;FBSN/iOS;FBSV/15.1;FBSS/2;FBID/phone;FBLC/es_US;FBOP/5;FBRV/750314733;IABMV/1]","iPhone","Apple","iPhone10,4","iPhone 8","2017","","./device-images/iphone/iphone10-4.jpg","750","1334","375","577","2","6","2","3","15.1","120.0.6099.210","605.1.15","519.1.0.40.99","753726094","Apple","Apple A11","8c6cf5d","18fb6d31","Europe/Paris","es_US","5g","49","54","true","75","2025-08-24T09:41:58.626Z","3.0-optimized"
"5cct1oyo","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20A362 [FBAN/FBIOS;FBAV/521.0.0.38.98;FBBV/760232234;FBDV/iPhone10,5;FBMD/iPhone;FBSN/iOS;FBSV/16.0;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/765332578;IABMV/1]","iPhone","Apple","iPhone10,5","iPhone 8 Plus","2017","","./device-images/iphone/iphone10-5.jpg","1080","1920","432","696","2.5","6","3","4.5","16.0","120.0.6099.210","605.1.15","521.0.0.38.98","760232234","Apple","Apple A11","1f5e6736","6a6b09c8","America/New_York","en_US","4g","59","69","true","83","2025-08-24T09:41:58.626Z","3.0-optimized"
"q1yiumvx","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18A373 [FBAN/FBIOS;FBAV/522.0.0.42.99;FBBV/763693145;FBDV/iPhone8,4;FBMD/iPhone;FBSN/iOS;FBSV/14.0;FBSS/3;FBID/phone;FBLC/es_US;FBOP/5;FBRV/753403205;IABMV/1]","iPhone","Apple","iPhone8,4","iPhone SE (1st gen)","2016","","./device-images/iphone/iphone8-4.jpg","640","1136","427","637","1.5","2","2","3","14.0","120.0.6099.210","605.1.15","522.0.0.42.99","763693145","Imagination Technologies","PowerVR GT7600","67d3eba3","4556b02b","America/New_York","es_US","wifi","31","110","true","91","2025-08-24T09:41:58.626Z","3.0-optimized"
"es9s4k93","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 [FBAN/FBIOS;FBAV/519.1.0.40.99;FBBV/753726094;FBDV/iPhone17,5;FBMD/iPhone;FBSN/iOS;FBSV/18.5;FBSS/2;FBID/phone;FBLC/es_US;FBOP/5;FBRV/753060446;IABMV/1]","iPhone","Apple","iPhone17,5","iPhone SE (1st gen)","2016","","./device-images/iphone/iphone17-5.jpg","640","1136","427","637","1.5","2","2","3","18.5","120.0.6099.210","605.1.15","519.1.0.40.99","753726094","Imagination Technologies","PowerVR GT7600","d6ec4d9","3a509fd9","Europe/Paris","es_US","4g","47","33","true","26","2025-08-24T09:41:58.627Z","3.0-optimized"
"sond51cv","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18A393 [FBAN/FBIOS;FBAV/516.0.0.47.97;FBBV/743277063;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/14.0.1;FBSS/2;FBID/phone;FBLC/es_US;FBOP/5;FBRV/760119898;IABMV/1]","iPhone","Apple","iPhone9,3","iPhone SE (1st gen)","2016","","./device-images/iphone/iphone9-3.jpg","640","1136","427","637","1.5","2","2","3","14.0.1","120.0.6099.210","605.1.15","516.0.0.47.97","743277063","Imagination Technologies","PowerVR GT7600","5cda0226","31204ec","America/Chicago","es_US","5g","45","115","false","61","2025-08-24T09:41:58.627Z","3.0-optimized"
